uuid,q1,q1b,q2,q2b,q3a,q3b,q3c,q4a,q4b,q4c,q4d,q5,q5b,instructionsTime,comprehensionTime,postExptQuestionnaireTime
148846216051184149023,3,Legal mumbo-jumbo,3,I didn't read it,agree,agree,disagree,disagree,agree,agree,agree,strongly agree,I want to use the service,16.618,83.825,85.775
14884612771119785241,1,curious ,1,easy to understasnd,agree,agree,neutral,disagree,agree,disagree,agree,agree,they might use my info somewhere,54.422,265.926,207.834
148846188604714987233,1,Yes i always do,1,Yes it is the best thing to do,strongly agree,strongly agree,neutral,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,Because it is my info,30.145,72.244,139.817
148846180802720456432,2,That is what I do always,2,I thought it is usual process,agree,agree,disagree,disagree,neutral,strongly agree,strongly agree,strongly agree,As I need their services. I used to do that always.,22.026,115.362,386.714
148846123958985457544,1,It was asked to answer questionnaire for sign up experience,1,It was asked to answer questionnaire for sign up experience,agree,agree,neutral,neutral,agree,agree,agree,agree,Usually not have enough time to read. or it is not a comfortable period of time,4.394,780.254,326.361
148846210818731801647,2,didn't have enough time,2,just outlined,agree,agree,agree,disagree,disagree,disagree,agree,agree,just for security reasons,17.717,70.821,111.204
148846161943190334934,1,Requirement to complete the survey.,2,Given a reading only once and make an understanding accordingly.,agree,agree,agree,disagree,agree,agree,agree,agree,I don't anticipate much of loss due to information sharing.,38.157,288.304,445.918
148846219958213328418,2,Too much information. Just get to the point. ,1,From what I read I was able to comprehend the information. ,agree,agree,agree,neutral,neutral,agree,agree,agree,My need to use their services often overrides my concern over my data. ,14.726,55.27,131.063
148846214152554162816,1,Nil,1,Nil,disagree,agree,neutral,agree,disagree,agree,neutral,agree,Nil,185.317,22.921,38.984
148846159517327087095,1,I was expecting some questions,1,I was carefull at reading which i usually don't.,strongly agree,strongly agree,strongly agree,strongly disagree,agree,agree,agree,strongly agree,I want the service even if some privacy is lost.,3.84,566.321,294.061
14884626473428142315,2,I GENERALLY TRUST THE SITE,2,I HAVEN'T READ IN DETAIL,agree,agree,agree,agree,agree,agree,agree,agree,BECAUSE I WANT TO KNOW MORE ABOUT THE SITE.,-66.2,206.844,104.674
148846186049622519684,1,I typical read a sites terms and condition if presented to me.,1,It seemed JimmySearch was fairly typical of other internet search sites.,strongly agree,strongly agree,neutral,strongly agree,strongly agree,disagree,agree,strongly agree,Unless the terms and conditions are too outlandish or intrusive. I agree so that I may use their services.,48.05,210.318,385.741
148846268333811309354,1,Nil,1,Nil,agree,neutral,disagree,agree,neutral,agree,agree,agree,Nil,20.278,29.592,25.064
148846267071725283941,2,n/a,2,Because I wanted to have some information,neutral,neutral,neutral,disagree,agree,disagree,agree,agree,because this is the only way to proceed,20.051,75.719,88.263
148846229452960609505,2,I read quickly skimming the terms.,1,The terms were clear to me for the most part.,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,neutral,strongly agree,I do not trust internet companies who ask for personal information.,355.103,61.147,117.186
148846226106836668138,3,I am lazy,3,no.I just made guesses based on my experience in previous page questions,agree,agree,agree,strongly disagree,strongly disagree,neutral,neutral,agree,yes.because its my private data,16.602,314.033,318.083
148846260383989659942,3,Who reads these things? Cant use the product without it right?,3,Not understandable by the common man. Should be illegal.,strongly agree,strongly agree,strongly agree,strongly disagree,neutral,strongly agree,strongly agree,strongly agree,Dont have any choice do we......other than not using almost every feature on every electronic device. ,21.613,80.519,142.049
148846250381729278677,2,I rarely read terms and conditions. Because I feel I will not get troubled by collecting any data.,2,Yes I read some sub headings. It was very easy to understand few things.,strongly disagree,strongly disagree,disagree,strongly disagree,disagree,agree,strongly agree,agree,Because sometimes. those services will be important to for me. And I don't fear I will get any harms as there as thousands of other users too. I am not feared when I am with a group.,2.758,234.623,370.423
148846247951949245218,2,I thought it bit too formal and the changes of exploiting this much personal details are quite low.,1,Yes whatever part I read was quite easy to understand.,agree,agree,neutral,disagree,neutral,agree,agree,agree,Since I need to use those services anyways.,14.424,87.29,291.412
148846317989084199232,1,i read clearly it states good conditions,2,jimmy search's terms and conditions i understand easily,agree,strongly agree,neutral,agree,strongly agree,neutral,agree,strongly agree,i concerned the internet service companies use my private data,6.045,41.364,307.868
14884624146136759451,1,I felt it was required here.,1,It was simple enough.,strongly agree,strongly agree,agree,strongly disagree,neutral,disagree,neutral,strongly agree,I am concerned. but what can one do.,62.586,87.075,602.347
148846290964126703353,1,I assumed there'd be questions about them.,1,Because I read them slowly.,neutral,strongly agree,agree,strongly disagree,neutral,agree,agree,agree,Basically it seem that Internet companies can do anything if you want to use their programs.,10.078,326.274,170.17
,2,I skimed for the general idea behind the TOS.,2,I did not read all of it so I don't fully understand the TOS,neutral,neutral,neutral,strongly disagree,strongly disagree,disagree,disagree,strongly agree,My need to use these far sites are greater than my privacy concerns.,NaN,35.221,142.904
148846319728278774558,1,To know it,1,To comprehend the terms,neutral,agree,neutral,strongly agree,agree,agree,agree,agree,To check for their device,23.494,475.723,128.652
148846382545115120952,3,I never read terms and conditions,3,I did not read it,neutral,neutral,neutral,strongly disagree,strongly disagree,strongly disagree,strongly disagree,neutral,I assume nothing bad is going to happen,10.346,60.016,106.627
148846370472254167846,1,tamilnadu,1,tamilnadu,agree,neutral,neutral,agree,agree,neutral,agree,agree,tamilnadu,153.207,16.099,50.315
148332266861212924860,3,no information is given,3,no,agree,agree,agree,strongly agree,strongly agree,strongly agree,agree,disagree,without my permission not satisfied with account,8.081,222.036,285.85
148846426736341521603,2,I skimmed because this isn't a real site. and I don't really care that much.  I didn't give real information for you to use improperly anyway.,1,Because it wasn't that different from anyone else's T&C.  I give you info. you get to use it. bla bla bla.,strongly agree,strongly agree,agree,agree,agree,agree,agree,agree,Because you can't use the service if you don't.  And much of it is legalese. I'd need a freaking translator.,29.953,53.502,113.571
148846463087137346444,1,I was told to,1,I read it,strongly agree,strongly agree,neutral,disagree,neutral,agree,agree,agree,I would want to know,12.196,75.885,77.523
148846441549874305978,2,na,2,na,agree,agree,agree,neutral,agree,neutral,agree,agree,na,86.346,242.658,172.388
148846473567322161114,1,Had a feeling. that it is part of this research. hence read it.,1,I think so.,strongly agree,strongly agree,strongly agree,strongly disagree,neutral,strongly agree,strongly agree,agree,Otherwise it's difficult to carry on with your regular life. For e.g.. if you don't agree to Gmail terms & conditions. then you simply can't have an email account. Plus the terms & conditions are mostly generic & similar across various service providers.,61.217,96.788,233.599
148846458926115849529,1,followed the instructions,1,there was nothing hard to understand,agree,agree,agree,neutral,neutral,neutral,agree,neutral,unsure,82.623,118.85,176.095
148846512852435475642,2,Because terms and conditions are full of jargon and are long and complicated.,1,From what I read I understood.,agree,strongly agree,neutral,strongly disagree,neutral,agree,agree,agree,Because it's convenient for me to skip it. I save time. I can't change it anyway.,32.637,72.675,88.587
148846510972373605335,2,skimmed,2,skimmed,agree,disagree,agree,disagree,agree,disagree,agree,disagree,i trust them,9.38,112.163,106.279
148846493765393516158,1,to check if it is safe to sign up,1,Read and I think I know what I am getting into.,strongly agree,strongly agree,strongly agree,agree,strongly agree,disagree,strongly agree,strongly agree,Either accept the terms or not sign up at all. There is no choice if I need it.,34.983,549.555,223.418
148846560699265021422,3,They usually always say stuff that I don't really understand.,3,Because I just don't read stuff like that.  I probably should start though,agree,agree,strongly agree,disagree,neutral,disagree,neutral,agree,Because if you don't accept then you won't get the service.,55.593,99.576,176.097
148846614606116619636,1,to check if there are any chances of identity theft.,1,I read it sincerely. ,agree,agree,neutral,agree,strongly agree,agree,agree,agree,because there are chances of identity theft.,50.428,90.243,211.081
14884658425662142153,2,Well. I read more than less of it!,1,Clearly understood.,strongly agree,strongly agree,strongly agree,strongly disagree,agree,disagree,agree,agree,It is not possible to proceed without doing that.,135.944,72.521,301.13
148846711451161573725,2,I did not really read this carefully as i thought you were concerned with whether or not this program worked properly,2,I did not really read this carefully as i thought you were concerned with whether or not this program worked properly,strongly agree,strongly agree,disagree,strongly disagree,strongly disagree,agree,agree,strongly agree,I did not really read this carefully as i thought you were concerned with whether or not this program worked properly,16.536,58.344,121.182
14884680109644454273,2,Waste of time,1,It was written pretty plainly,strongly agree,strongly agree,strongly agree,neutral,strongly agree,neutral,strongly agree,agree,I don't give them my real information anyway.,35.452,80.41,159.534
14884683992809520000,1,I always try to read through them,1,It wasn't too hard to understand or to read through,strongly agree,agree,strongly agree,agree,agree,neutral,neutral,neutral,Some sites I do. however most sites if I do not like what they collect. then I do not sign up.  I do not need a bunch of different accounts. I keep very few.,2.269,185.066,110.98
148847578752428124220,1,i read clearly,2,but not clearly,agree,neutral,neutral,agree,agree,strongly disagree,agree,agree,i use my private data,5.672,34.956,117.808
148847664299566139957,1,ndjwbdbwd,1,bdhwbw,strongly agree,agree,neutral,agree,neutral,disagree,strongly disagree,agree,njwnekjw,124.518,12.551,19.6
148847672605644890735,1,I always read Terms and Conditions as to gain understanding about what data will be shared and collected.,1,Yes the Terms and Conditions were easy to understand.,agree,strongly agree,neutral,agree,agree,agree,strongly agree,agree,I always read Terms and Conditions as to gain understanding about what data will be shared and collected. But I have to accept that anyway.,55.538,761.445,156.001
